Output
5.30
8.06
10.17
9.30
9.67
10.23
8.91
7.53
7.70
11.04
9.80
6.81
8.40
11.49
10.98
7.16
8.60
8.66
8.02
8.44
8.40
7.47
10.13
9.64
6.29
6.95
8.78
8.73
9.41
9.72
8.91
9.06
9.65
7.15
10.18
10.21
10.16
7.66
11.33
6.36
8.18
10.39
7.69
9.26
6.73
11.06
8.93
9.38
7.83
9.94
8.84
5.02
7.08
8.02
7.57
10.15
11.00
8.24
9.99
7.23
8.23
7.95
6.33
11.50
10.74
7.90
11.13
9.65
7.65
8.12
8.19
8.56
9.28
7.78
7.22
7.90
6.52
8.88
6.63
9.87
8.22
8.15
6.03
10.77
9.74
10.02
7.67
7.49
7.61
9.09
8.31
7.74
9.18
8.53
10.62
6.76
6.29
7.73
8.44
7.67
6.61
8.22
8.18
7.89
6.89
7.01
6.84
8.95
9.26
6.93
8.48
8.64
9.38
9.90
8.35
8.67
10.52
9.11
7.02
8.90
9.05
8.39
11.01
7.76
9.02
9.88
7.62
5.10
10.40
8.63
7.35
7.68
6.29
6.95
7.56
6.20
9.58
8.82
8.07
7.46
5.54
9.63
8.21
6.73
7.34
7.30
8.20
11.42
9.84
8.03
10.34
7.96
5.47
7.23
6.39
11.58
8.80
8.22
7.63
7.01
10.96
7.54
7.77
7.79
8.45
7.70
6.38
8.60
8.60
9.42
6.71
7.75
6.01
9.64
8.96
10.28
6.35
10.14
6.01
9.45
10.78
9.41
9.65
10.88
8.27
7.69
8.34
9.24
7.37
10.93
8.65
7.71
8.07
7.39
10.43
9.14
7.73
9.29
8.92
8.69
9.13
9.33
9.09
11.68
7.81
10.68
9.38
8.96
7.32
8.97
7.95
6.94
9.59
6.68
8.65
7.20
8.45
5.85
7.90
8.67
7.20
9.08
8.75
